probe	geneid
3345474	101929295
3859967	644050
3015732	105375429
3704651	100506183
3410926	105369727
3866109	94235
3866111	94235
3866113	94235
3141778	101927040
3637247	101926911
3844171	55663
3844173	55663
3625434	283658
2361603	54865
2361607	54865
3794853	400662
3290640	105682749
2316554	79906
3742316	388323
3496992	100507533
3399662	100130507
3960088	114794
3068322	9732
3068325	9732
3068327	9732
3068329	9732
3735675	101928514
2650472	151742
3139439	100505718
3295028	7414
3631763	101929173
2653454	100820709
3648061	100505564
3900945	105372566
3221898	80709
3221911	80709
3697702	6155
2985904	105378147
3136320	100507632
3824305	100507535
3824309	100507535
3824314	100507535
3539295	83851
3539297	83851
3238223	387640
2703277	3840
4054934	441528
4054964	441528
4055133	441528
4055136	441528
3103156	101926908
3936222	27443
2965622	23376
2924016	134829
3469832	728705
3182153	54881
2525907	151050
3319412	101927917
3906884	149703
3906886	149703
3128702	10049
2937097	101929420
3232721	101927964
2886576	100507267
2629470	201617
3884510	149684
3085180	157273
3673749	101927793
3543637	8650
2496889	100506328
2606998	728208
3780145	147276
3540126	22890
2546194	403150
3010752	101927356
2805492	153546
2805494	153546
2805496	153546
2805498	153546
2805500	153546
2820695	79772
3292920	101928994
3420835	100507175
3873535	100507495
2424392	101928241
3910638	101927796
2577849	23190
3847694	105372255
2716607	101928279
2563181	440894
3890714	105416157
3890738	105416157
3133892	23514
3133895	23514
4049631	23514
3975169	101927501
3400361	100049716
3270977	101060609
2755785	158158
2965341	158158
3486855	101929140
2795584	90768
2801689	10299
3563104	100506433
3440797	100128253
3769567	400618
2994050	285943
2748589	9227
2605250	401037
2653572	102724550
2483742	101927285
3063846	10734
3221702	158263
3757134	147093
3182188	100507449
3220951	158402
3220953	158402
3530033	101927045
3131530	100507403
2664037	152274
2702226	730091
2359243	339400
2986439	84498
2535617	150935
3000857	101929086
2881517	91977
2820152	105379674
4053390	284600
3962831	150378
3962835	150378
3962837	150378
2627514	100874243
3399290	100874333
3286680	220980
3289392	143153
3297197	143153
3611596	145757
2724397	100885776
3255491	170425
3778899	63895
2575549	151121
2520982	101927431
2496172	150577
3886973	10005
3557939	283629
3557941	283629
3664710	100505865
3493841	100507612
3913400	149650
3103357	100128126
3685723	100506655
3512391	144817
3740162	124935
2834844	255187
3262396	100505839
3631041	145694
2526668	101928103
2942754	100506647
3739776	100996816
3936079	23765
3936081	23765
2627625	101929335
2910429	100287869
2698987	100287869
2680506	9223
3235995	8559
3632641	100287616
2661180	100507582
2498931	151234
2386179	359948
2731780	152815
3899992	26074
3656283	100996344
2939181	4835
3156649	401480
2655027	100505687
3526213	440149
3526226	440149
3096168	105379395
3940602	100507580
3961814	100506544
2548674	101929559
3208618	101927069
3907127	100505826
3669267	101928203
2788485	100505545
3394723	649133
3725221	101927166
3193675	157931
3084181	649294
3972512	439944
2459327	100885800
3964928	105373085
3964930	105373085
3718000	147004
3692358	100996345
3082148	642620
3151819	157376
3809255	100505474
2670992	100506275
3504944	100874182
3680723	642696
3703551	101928682
2605849	151171
3733667	146795
3529058	664611
3481366	100506680
3117248	101927845
2546132	100505736
2494404	285033
2796641	731424
2766071	101928776
2362064	105371458
3941040	100507599
3113552	101927543
3855814	374887
3217602	101928438
2784658	101927087
2439164	729866
3516478	144766
2801314	101929338
2977375	100507489
3474055	144742
3088835	101929172
2580699	150596
3784500	100101467
3988610	101928287
3193265	100130548
3923786	100505727
3094280	11160
3094282	11160
2565875	150759
2495030	150759
3377723	254100
2916299	206412
2413570	9528
2413572	9528
3007732	2969
3603756	948
4012613	100302692
2950922	100507584
3190103	102723566
3122549	100507530
3995603	139735
3995605	139735
3837346	100505681
2992797	730020
3121747	401445
2627638	100507098
3130092	100128750
3544382	5228
3870422	105372457
3735972	100507351
3553982	145216
3336162	3177
2568674	100506473
2568677	100506473
3393135	100874315
3711231	100874058
3500124	144920
3478535	100128840
3347460	643923
3965363	105377205
3133229	728445
3425632	439916
3553435	9578
3550052	101929080
2781596	100533182
2983582	101929239
3408154	101928441
3896568	101929225
2894902	221710
3601916	594855
3601918	594855
3601920	594855
3601922	594855
3601927	594855
3923688	755
2709994	4026
3964012	55020
3982370	51616
4056096	51616
2656101	100505729
3065100	340335
3065303	340335
3065305	340335
3423002	652993
3743269	100506713
2315944	219293
3826241	81931
2759279	100507376
2887679	101928136
2695158	389634
3686865	101928215
3151927	100507018
2419219	374987
3959877	400926
3378983	100505621
3204445	138724
3736433	8632
3736435	8632
2354959	100874392
4052873	100874392
2354961	100874392
2400205	100861548
3773650	100507494
3286635	6387
3762503	100506609
2376441	284576
2901157	3136
2901169	3136
3125773	29883
3696863	23042
3864745	7711
2348388	729987
3094409	80223
3341130	55331
3448942	100506606
2987083	101927021
2543356	645949
2357757	57234
2357761	57234
3478581	283383
3504367	53342
3504369	53342
3504371	53342
3873678	727993
2424200	101928118
2708192	55689
3622114	6652
3099526	286178
3378068	100131232
2330858	79693
2330860	79693
4044032	79693
4044034	79693
2568413	284998
3787247	84064
3448027	100506451
3376556	25923
3947796	100874197
3081501	285889
2540464	285150
3518822	101927176
3500723	283484
3874983	128674
2709812	604
3096919	286063
3096922	286063
2626372	101929238
3880444	400839
2581830	100144595
3904392	100130373
3061916	105375405
3980264	100996279
3720023	100505576
2664284	645688
3765296	645688
2810627	401188
2716928	285484
3845775	105372239
3501976	100505996
3121122	643837
3387254	143686
3214430	100507137
2711725	100507033
3720594	100505591
2387500	105373221
3589533	105370941
3589536	105370941
3589538	105370941
2640141	649294
3086312	649294
3123341	649294
3403738	649294
2711328	105374285
3394997	105369536
2741447	8654
2896713	101928433
3415046	6334
2452293	23114
3949009	284926
2918123	101927314
2918168	101927314
3659260	101927132
3739780	55275
3301609	728558
3988933	23157
3686430	100506705
3436987	100507206
3798641	440479
3550205	100507043
3099152	101929415
2836013	10146
2417065	79819
2417067	79819
2327336	55113
3166613	138474
3082590	286161
3083092	286087
3083094	286087
2433012	100509195
2433501	100509195
3256553	728190
3297240	101060691
3297242	101060691
3297244	101060691
3297415	101060691
3297417	101060691
3297419	101060691
3665408	6553
3097994	286071
3880154	100505664
3433011	255480
3427213	144535
2845783	101928857
2431768	23380
2922246	285759
2325820	57035
2325854	57035
2325984	57035
3356259	646383
2866675	100505994
2777612	10144
2719105	101929071
3623914	105370814
3626502	101928694
3773239	125058
3216741	105376166
3081161	100506302
3791059	100996669
2502867	6344
3651371	123876
3683646	123876
3683649	123876
2642070	105369360
3337291	105369360
3403715	105369360
2380679	101929713
3859820	100506469
3279679	6251
3097385	101929268
3485951	400121
2869179	285708
3588303	101928174
3892325	1002
3892327	1002
3892329	1002
3126157	401024
3370163	401024
3222494	103611155
3172114	440482
2611827	285378
2588451	100129455
3753815	728485
3831552	728485
2364413	101928404
2677188	100874237
3099793	8439
4004690	101928627
3629334	348094
2994094	3204
2804277	439936
2501411	55871
3190996	100506119
2574176	100288443
2574179	100288443
3821583	101928464
3487052	100507240
3949148	100506813
3303828	101927419
3970935	5160
3970937	5160
2529213	729770
2529215	729770
3742754	51009
2654015	100287639
2685547	100287639
3673956	29123
3993958	29123
3206446	389741
3206448	389741
2391811	9906
3545293	283575
3336167	3177
3097125	23514
3730879	92335
3546888	100506731
3546943	100506731
3546945	100506731
3574780	100506731
2717806	152992
2717811	152992
2399405	23352
2399407	23352
3807712	4645
2892830	100507506
3863888	440533
3863890	440533
3864084	440533
3864086	440533
2693303	101927056
3523808	283482
2892909	105374895
3086625	100131581
3086627	100131581
2944430	100506885
3014123	100131581
3123347	100131581
3337311	100131581
2714607	285463
3139344	286189
3139346	286189
3953120	284865
3563582	100506446
2976570	100507462
3628432	7168
3165095	441389
2528223	255101
3709444	105371518
3945673	60489
2701480	105374165
3901814	101926889
2905827	100132005
3494303	729420
3643194	197335
2716246	285492
3194433	286254
2339023	4774
2663092	132001
2829767	9555
3912185	284757
3557964	145553
3557966	145553
3384417	106736475
2315948	55210
3529216	102724814
3526753	650669
3719849	105371763
2636772	7634
2901244	3138
2901252	3138
2901256	3138
2901258	3138
2901260	3138
2901268	3138
2901272	3138
2659470	100874034
2672069	2829
2494103	51011
2564793	51011
3841607	7316
3841615	7316
3841617	7316
3701362	100996425
2571810	286272
3173097	286272
3397680	101929538
3317575	833
3611351	105371022
3246005	100506733
3411658	283463
3662019	100505722
3949431	284930
2633449	105374008
3459066	101927653
2714563	401114
3109877	104054148
3014843	285989
3014845	285989
3014847	285989
3517963	100288208
3508255	100507064
3616766	100131315
3282099	731789
3488085	101929259
2603147	93349
3145190	286149
3422788	100130268
2844158	100289470
2460976	101927683
2398253	100132147
2771622	101927237
3527560	254028
3660612	283854
3299824	101926924
3691529	388276
3713278	400579
3749336	400579
4041664	3633
2999434	100127950
3528959	100505758
2854058	100506475
3480757	650794
2468483	100506274
3526255	283501
2437410	284618
3549077	105370629
3549088	105370629
2545679	4358
3430592	101929162
3776416	101927044
2828906	105379181
3996620	390251
4027518	390251
2660906	100130207
2660909	100130207
2737873	105377348
2803817	105374676
2852876	105374676
2852878	105374676
3183514	100996590
3370855	399884
3137971	105375875
3686158	283888
3653593	283887
2662801	285370
2938340	105374876
2938362	105374876
2938329	105374876
3115056	105375746
3121511	100507435
